,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q2.6_1,Q2.6_2,Q2.6_3,Q2.6_4,Q2.6_5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.6_1,Q3.6_2,Q3.6_3,Q3.6_4,1_Q5.2,2_Q5.2,3_Q5.2,4_Q5.2,5_Q5.2,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_7,investExtra1,profile1b,profile2b,profile3b,profile4b,profile5b,profile1a,profile2a,profile3a,profile4a,profile5a,seed1,seed2,seed3,seed4,seed5,minutes,Q6.9_agg
1,19/06/2023 00:14,19/06/2023 00:20,IP Address,100,384,TRUE,19/06/2023 00:20,R_0HOYVBiAmbtls7n,email,EN,Consent to participate in this short survey,Senior Faculty,University,United States,American,9,1,NA,NA,NA,NA,No,NA,NA,NA,Yes,No,No,No,Yes,No,No,No,Profile B,Profile B,Profile B,Profile A,Profile A,5,1,2,7,3,6,4,NA,"2000 + conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","1000 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership","500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","1000 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure",1500 conference participants|Executive group that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership,"1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure",500 conference participants|Council that manages the association and annual meeting|Non-elected executive that appoints council and president|Private-for-profit ownership structure,1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council that appoints a president|Private-for-profit ownership structure,"500 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","1000 conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure",98689159,89047677,641583389,214361665,42692934,6.4,Man
2,19/06/2023 05:36,19/06/2023 05:42,IP Address,100,375,TRUE,19/06/2023 05:42,R_3QW4WMm7wBtDVBj,email,EN,Consent to participate in this short survey,Post Doc,University,Norway,German,0,7,6,NA,NA,NA,No,NA,NA,NA,Yes,Yes,No,No,Yes,Yes,Yes,No,Profile A,Profile A,Profile B,Profile A,Profile A,1,2,3,7,6,4,5,NA,"1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership",2000 + conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership,500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Not-for-profit ownership structure,"1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership",2000 + conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council that appoints a president|Private-for-profit ownership structure,500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive that appoints council and president|Not-for-profit ownership structure,1500 conference participants|Council that manages the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure,"2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure",1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council that appoints a president|Not-for-profit ownership structure,"2000 + conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership",896717190,987243952,942052422,647819273,769372972,6.25,Woman
3,19/06/2023 06:05,19/06/2023 06:50,IP Address,100,2719,TRUE,19/06/2023 06:50,R_7NCUrbqFwmVsTtL,email,EN,Consent to participate in this short survey,Senior Faculty,University,Germany,Ireland,4,4,5,5,5,7,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Profile B,Profile B,Profile A,Profile A,Profile A,6,5,1,4,7,2,3,100,"500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership","1500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership","500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure",500 conference participants|Executive group that manages the association and annual meeting|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership,"500 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure",2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure,2000 + conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive that appoints council and president|Not-for-profit ownership structure,1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council that appoints a president|Cooperative ownership structure – membership ownership,1000 conference participants|President that manages the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership,853116413,789570789,967635258,962194411,112232959,45.31666667,Man
4,19/06/2023 07:59,19/06/2023 08:04,IP Address,100,303,TRUE,19/06/2023 08:04,R_1pKmK3LqDjC4dvf,email,EN,Consent to participate in this short survey,Senior Faculty,University,France,German,0,NA,NA,NA,NA,NA,Yes,No,NA,No,Yes,Yes,No,No,Yes,Yes,No,No,Profile A,Profile B,Profile A,Profile A,Profile A,3,4,2,5,7,1,6,1000,"2000 + conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","2000 + conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","1500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","1500 conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership",500 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure,2000 + conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure,1000 conference participants|Executive group that manages the association and annual meeting|Elected council that appoints a president|Private-for-profit ownership structure,500 conference participants|Council that manages the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership,1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Cooperative ownership structure – membership ownership,2000 + conference participants|Council that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure,632857798,794552421,539968650,55036354,621053174,5.05,Man
5,19/06/2023 08:20,19/06/2023 09:10,IP Address,100,2982,TRUE,19/06/2023 09:10,R_2dGyXGgF8heaqT5,email,EN,Consent to participate in this short survey,Post Doc,University,Norway,Norwegian,2,9,7,5,5,5,Do not know,NA,NA,NA,Yes,Yes,No,No,Yes,Yes,No,No,Profile B,Profile A,Profile A,Profile A,Profile B,7,2,1,3,4,6,5,NA,2000 + conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Not-for-profit ownership structure,"1500 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure",500 conference participants|Council that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure,500 conference participants|President that manages the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure,"500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","2000 + conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership",1000 conference participants|Council and President that manage the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership,1000 conference participants|Council and President that manage the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership,2000 + conference participants|Executive group that manages the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure,500 conference participants|Council and President that manage the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership,847557640,346940748,959484659,542849711,420022139,49.7,Woman
6,19/06/2023 08:52,19/06/2023 10:08,IP Address,100,4566,TRUE,19/06/2023 10:08,R_3fZZaAIuRE6eLuR,email,EN,Consent to participate in this short survey,Senior Faculty,University,Austria,German,11,5,2,3,2,5,Yes,Yes,Yes,NA,Yes,Yes,No,No,Yes,Yes,No,No,Profile B,Profile B,Profile A,Profile B,Profile B,6,3,1,5,4,2,7,50,500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council that appoints a president|Not-for-profit ownership structure,500 conference participants|Council and President that manage the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure,"500 conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure",2000 + conference participants|Council that manages the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure,1000 conference participants|Council that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure,500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Private-for-profit ownership structure,1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Cooperative ownership structure – membership ownership,"500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership","2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","2000 + conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership",204280056,422831324,806814368,997912213,209355236,76.1,Man
7,19/06/2023 10:33,19/06/2023 10:39,IP Address,100,318,TRUE,19/06/2023 10:39,R_3iCERSg4HQC1nwR,email,EN,Consent to participate in this short survey,Senior Faculty,University,United States,American,4,8,4,6,1,3,Yes,No,NA,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Profile A,Profile B,Profile B,Profile A,Profile A,4,3,1,5,6,2,7,500,"2000 + conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure",2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure,500 conference participants|President that manages the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure,"500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure",1000 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure,1500 conference participants|Executive group that manages the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure,2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Private-for-profit ownership structure,500 conference participants|Council that manages the association and annual meeting|Elected council that appoints a president|Private-for-profit ownership structure,"1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership",850863956,654340957,592441774,228387502,914283830,5.3,Woman
8,12/06/2023 14:24,12/06/2023 14:27,IP Address,54,175,FALSE,19/06/2023 14:27,R_2R7zViblgt2koXg,anonymous,EN,Consent to participate in this short survey,Senior Faculty,University,N/A,N/A,4,6,6,6,NA,6,Do not know,NA,NA,NA,Yes,Yes,No,No,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29601125,541357017,78365144,40652389,138532719,2.916666667,N/A
9,19/06/2023 23:59,20/06/2023 00:04,IP Address,100,329,TRUE,20/06/2023 00:04,R_AEFA7czHe4BqwNz,email,EN,Consent to participate in this short survey,Junior Faculty,University,Japan,Japanese,3,7,9,9,9,9,Do not know,NA,NA,NA,Yes,No,No,No,Yes,No,No,No,Profile A,Profile B,Profile B,Profile B,Profile B,1,2,3,5,7,4,6,NA,1000 conference participants|Executive group that manages the association and annual meeting|Non-elected executive that appoints council and president|Private-for-profit ownership structure,1000 conference participants|Executive group that manages the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure,2000 + conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Private-for-profit ownership structure,500 conference participants|President that manages the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership,500 conference participants|Council that manages the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure,2000 + conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Private-for-profit ownership structure,"1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","1000 conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure",2000 + conference participants|President that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure,308311107,524168086,281985941,271019974,752330710,5.483333333,Woman
10,20/06/2023 00:58,20/06/2023 01:04,IP Address,100,368,TRUE,20/06/2023 01:04,R_Us7PSqWbOFQA361,email,EN,Consent to participate in this short survey,Senior Faculty,University,United States,American,9,3,5,5,5,5,Do not know,NA,NA,NA,Yes,Yes,No,No,Yes,Yes,No,No,Profile B,Profile B,Profile A,Profile A,Profile B,6,2,1,3,4,7,5,NA,"2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","1500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership","1000 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership",1500 conference participants|President that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership,500 conference participants|Council and President that manage the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership,"1000 conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","500 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure",500 conference participants|Council that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership,"1500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership",563620020,113834255,10062401,761385763,539868274,6.133333333,Man
