"","Q6.2","Q6.3","Q6.4","Q6.5","Q6.6","Q6.7","Q6.10","Q2.1","Q2.2","Q2.3","Q2.4","Q2.5","AgeNum","Q6.8_10_aggregated","Q6.9_agg"
"1",1977,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","9",46,"Straight","Man"
"2",1986,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Norway","German","0",37,"Straight","Woman"
"3",1970,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Germany","Ireland","4",53,"Straight","Man"
"4",1973,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","France","German","0",50,"Straight","Man"
"5",1991,"No","No","No","White or Caucasian","No","No","Post Doc","University","Norway","Norwegian","2",32,"Straight","Woman"
"6",1980,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Austria","German","11",43,"Gay","Man"
"7",1980,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","4",43,"Straight","Woman"
"8",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","N/A","N/A","4",NA,"N/A","N/A"
"9",NA,"N/A","No",NA,"Asian or Pacific Islander","No","No","Junior Faculty","University","Other","Other","3",NA,"Straight","Woman"
"10",1981,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","9",42,"Straight","Man"
"11",1996,"No","No","No","White or Caucasian","No","No","Student","University","Ireland","Spanish","0",27,"N/A","Man"
"12",1982,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","1",41,"Straight","Woman"
"13",1995,"No","No","No","White or Caucasian","No","No","Researcher","University","Germany","German","0",28,"Straight","Woman"
"14",NA,"No","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","7",NA,"Straight","Man"
"15",1988,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Spain","Spanish","4",35,"Straight","Man"
"16",1996,"Yes to some extent","No","No","White or Caucasian","Yes","No","Student","University","Switzerland","Swiss","0",27,"Bisexual","Woman"
"17",1993,"No","No","Yes","Hispanic or Latinx","No","No","Post Doc","Research Institute","Germany","Other","2",30,"Straight","Man"
"18",1993,"No","No","No","White or Caucasian","No","No","Student","University","Germany","Dutch","0",30,"Straight","Woman"
"19",1987,"No","No","No","N/A","Yes","N/A","Junior Faculty","University","Italy","Italian","5",36,"Other","Other"
"20",1968,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","Ireland","12",55,"N/A","Man"
"21",1985,"No","No","Yes","Multiracial or Biracial","Yes","No","Senior Faculty","University","United Kingdom","German","9",38,"Gay","Man"
"22",1978,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Sweden","American","8",45,"Straight","Man"
"23",1987,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United States","American","0",36,"Straight","Man"
"24",1991,"No","No","No","White or Caucasian","No","No","Student","Research Institute","Germany","German","0",32,"N/A","Woman"
"25",1988,"Yes to some extent","Yes","No","White or Caucasian","No","No","Researcher","Other","Germany","German","6",35,"N/A","Woman"
"26",1990,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Israel","German","1",33,"Gay","Man"
"27",1987,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United States","American","0",36,"Straight","Woman"
"28",1982,"Yes to some extent","Yes","No","White or Caucasian","Yes","No","Junior Faculty","University","United States","American","1",41,"Straight","Woman"
"29",1954,"Yes to some extent","No","No","White or Caucasian","No","No","Senior Faculty","University","Italy","American","5",69,"Straight","Woman"
"30",1986,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Germany","German","10",37,"Bisexual","Woman"
"31",1972,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Canada","Canadian","6",51,"N/A","Man"
"32",NA,"N/A","N/A",NA,"N/A","Yes","N/A","Student","University","N/A","N/A","2",NA,"N/A","N/A"
"33",1997,"No","No","No","White or Caucasian","No","No","Student","University","OtherEU","OtherEU","1",26,"Bisexual","Man"
"34",1986,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Switzerland","Swiss","3",37,"Straight","Man"
"35",1995,"No","No","No","N/A","No","No","Post Doc","University","United States","Portuguese","2",28,"Straight","Man"
"36",1992,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","Research Institute","Germany","German","1",31,"Gay","Man"
"37",1990,"Yes to some extent","No","No","Hispanic or Latinx","Yes","No","Junior Faculty","University","United Kingdom","Other","1",33,"Gay","Man"
"38",1978,"No","No","No","N/A","Yes","No","Senior Faculty","University","Switzerland","Swiss","6",45,"N/A","Woman"
"39",1990,"No","No","No","White or Caucasian","No","No","Post Doc","University","Switzerland","N/A","2",33,"Bisexual","Man"
"40",1982,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","British","2",41,"N/A","Woman"
"41",1988,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Turkey","Turkish","1",35,"Straight","Man"
"42",1986,"No","No",NA,"N/A","N/A","N/A","Senior Faculty","University","United Kingdom","German","5",37,"N/A","N/A"
"43",1988,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United States","Albanian","0",35,"Straight","Woman"
"44",1992,"No","Yes","No","White or Caucasian","Yes","No","Post Doc","University","United Kingdom","Ireland","4",31,"N/A","Man"
"45",1990,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Germany","German","4",33,"Straight","Woman"
"46",1986,"No","No","No","A race/ethnicity not listed here","Yes","No","Junior Faculty","University","United Kingdom","Israeli","0",37,"Straight","Man"
"47",1991,"N/A","No","Yes","N/A","No","No","Post Doc","University","Switzerland","Swedish","0",32,"N/A","Woman"
"48",1979,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","N/A","N/A","10",44,"Straight","Man"
