"","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q1.2","Q2.1","Q2.2","Q2.3","Q2.4","Q2.5","Q2.6_1","Q2.6_2","Q2.6_3","Q2.6_4","Q2.6_5","Q3.1","Q3.2","Q3.3","Q3.4","Q3.5_1","Q3.5_2","Q3.5_3","Q3.5_4","Q3.6_1","Q3.6_2","Q3.6_3","Q3.6_4","1_Q5.2","2_Q5.2","3_Q5.2","4_Q5.2","5_Q5.2","Q7.1_1","Q7.1_2","Q7.1_3","Q7.1_4","Q7.1_5","Q7.1_6","Q7.1_7","investExtra1","profile1b","profile2b","profile3b","profile4b","profile5b","profile1a","profile2a","profile3a","profile4a","profile5a","seed1","seed2","seed3","seed4","seed5","minutes","AgeNum","Q6.8_10_aggregated","Q6.9_agg"
"1","2023-06-23 17:10:33","2023-06-23 17:14:23","IP Address","100",230,"True","2023-06-23 17:14:24","R_1N94ZXYJh0pSTaG","email","EN","Consent to participate in this short survey","Senior Faculty","University","United States","N/A","10",10,10,10,10,10,"Yes","Yes","Yes",NA,"Yes","No","No","No","Yes","Yes","No","No","Profile A","Profile A","Profile A","Profile A","Profile A","4","3","1","2","5","6","7","500","500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","1000 conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership","1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership","1000 conference participants|President that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership","2000 + conference participants|Council that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive that appoints council and president|Private-for-profit ownership structure","500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","500 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure","1500 conference participants|Council and President that manage the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership","992758268","564864824","598423598","247398993","371522951",3.83333333333333,53,"N/A","Woman"
"2","2023-06-29 09:14:12","2023-06-29 09:21:17","IP Address","100",425,"True","2023-06-29 09:21:18","R_2fLCMABztqsxQ65","email","EN","Consent to participate in this short survey","Junior Faculty","University","United Kingdom","German","4",4,6,6,NA,4,"Do not know",NA,NA,NA,"Yes","Yes","No","No","Yes","Yes","Yes","No","Profile B","Profile B","Profile A","Profile A","Profile B","4","2","1","5","6","3","7",NA,"2000 + conference participants|Council and President that manage the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure","1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Not-for-profit ownership structure","500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Not-for-profit ownership structure","500 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure","2000 + conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership","2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","500 conference participants|Council that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure","2000 + conference participants|Council that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership","2000 + conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council that appoints a president|Private-for-profit ownership structure","797828907","927405801","141976099","867663909","847349335",7.08333333333333,30,"Bisexual","Man"
"3","2023-07-08 00:55:54","2023-07-08 01:00:37","IP Address","100",283,"True","2023-07-08 01:00:39","R_2dhwB1tDNGvDf5h","email","EN","Consent to participate in this short survey","Student","University","United States","American","0",5,NA,NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","Yes","No","No","No","Profile A","Profile B","Profile A","Profile B","Profile A","3","1","2","6","5","4","7",NA,"500 conference participants|President that manages the association and annual meeting|Elected council that appoints a president|Private-for-profit ownership structure","1000 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership","1500 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure","500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","1500 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure","1000 conference participants|Council that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership","500 conference participants|President that manages the association and annual meeting|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","1500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Private-for-profit ownership structure","2000 + conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership","815667708","532107841","113574746","693666427","219297210",4.71666666666667,27,"Straight","Woman"
"4","2023-06-29 17:22:44","2023-06-29 17:35:57","IP Address","100",792,"True","2023-06-29 17:35:58","R_2CVAWDV49MZc9KC","email","EN","Consent to participate in this short survey","Junior Faculty","University","United Kingdom","Ireland","4",6,3,3,1,2,"No",NA,NA,NA,"Yes","Yes","No","No","Yes","Yes","No","No","Profile B","Profile A","Profile B","Profile B","Profile B","4","2","3","6","1","5","7",NA,"1500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership","1500 conference participants|Council that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure","1500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","2000 + conference participants|Council that manages the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure","1000 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership","1500 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","1000 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","1000 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Private-for-profit ownership structure","151018563","562827965","729775415","215475400","488395711",13.2,31,"Bisexual","Woman"
"5","2023-06-23 23:16:44","2023-06-23 23:23:21","IP Address","100",396,"True","2023-06-23 23:23:22","R_8uZpeTZXmloVitr","email","EN","Consent to participate in this short survey","Researcher","University","Germany","German","2",7,7,5,5,5,"Yes","Yes","Do not know",NA,"Yes","No","No","No","Yes","No","No","No","Profile A","Profile B","Profile B","Profile A","Profile A","4","3","1","6","5","2","7","200","500 conference participants|Council that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership","1500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","2000 + conference participants|President that manages the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure","1500 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Cooperative ownership structure – membership ownership","1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Not-for-profit ownership structure","500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Elected council and elected president|Not-for-profit ownership structure","2000 + conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","1000 conference participants|Executive group that manages the association and annual meeting|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive that appoints council and president|Not-for-profit ownership structure","1000 conference participants|Council and President that manage the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership","833992313","366019973","612202679","317322515","546052993",6.6,35,"Straight","Man"
"6","2023-07-01 23:10:38","2023-07-01 23:16:28","IP Address","100",350,"True","2023-07-01 23:16:30","R_1FfXX0Ge6lfBvky","email","EN","Consent to participate in this short survey","Senior Faculty","University","United States","American","1",6,NA,NA,10,10,"No",NA,NA,NA,"Yes","Yes","No","No","Yes","Yes","No","No","Profile A","Profile A","Profile A","Profile A","Profile B","4","2","1","6","7","5","3",NA,"500 conference participants|Council that manages the association and annual meeting|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","1500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Private-for-profit ownership structure","1000 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure","2000 + conference participants|Council and President that manage the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure","1500 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","1500 conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive that appoints council and president|Private-for-profit ownership structure","1500 conference participants|Council and President that manage the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","1500 conference participants|Executive group that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership","374155927","777499217","108989386","909916985","594544141",5.83333333333333,79,"Straight","Man"
"7","2023-06-20 18:30:46","2023-06-20 18:36:32","IP Address","100",345,"True","2023-06-20 18:36:33","R_3fs2MryDMMhXurD","email","EN","Consent to participate in this short survey","Senior Faculty","University","Netherlands","Italian","1",7,NA,NA,NA,NA,"Do not know",NA,NA,NA,"Yes","No","No","No","Yes","Yes","No","No","Profile A","Profile B","Profile B","Profile A","Profile B","2","3","1","5","6","4","7",NA,"500 conference participants|President that manages the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure","1000 conference participants|Council and President that manage the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","1500 conference participants|Executive group that manages the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure","500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive that appoints council and president|Private-for-profit ownership structure","2000 + conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","1500 conference participants|Council that manages the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership","1000 conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership","1000 conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","1500 conference participants|Council that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","1500 conference participants|President that manages the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure","348971194","399748998","900765732","127947089","532306418",5.75,41,"Straight","Woman"
"8","2023-06-20 11:35:57","2023-06-20 11:41:35","IP Address","100",337,"True","2023-06-20 11:41:36","R_OMTDOLGTkA4s1l7","email","EN","Consent to participate in this short survey","Researcher","Government","Germany","German","6",9,5,5,5,NA,"No",NA,NA,NA,"Yes","Yes","No","No","Yes","Yes","No","No","Profile B","Profile B","Profile A","Profile A","Profile B","3","6","1","7","5","2","4",NA,"1000 conference participants|President that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","1000 conference participants|President that manages the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership","1000 conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","2000 + conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","1000 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","1500 conference participants|President that manages the association and annual meeting|Elected council that appoints a president|Not-for-profit ownership structure","1500 conference participants|President that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","1500 conference participants|President that manages the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership","1000 conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and elected President|Not-for-profit ownership structure","2000 + conference participants|Council and President that manage the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","716115988","841107336","546434888","71913823","671747315",5.61666666666667,35,"N/A","Woman"
"9","2023-07-08 09:49:11","2023-07-08 09:59:33","IP Address","100",622,"True","2023-07-08 09:59:35","R_CerkXiddzfAWxG1","email","EN","Consent to participate in this short survey","Post Doc","University","Italy","Italian","0",5,1,1,1,1,"Do not know",NA,NA,NA,"Yes","No","No","No","Yes","No","No","No","Profile B","Profile A","Profile B","Profile A","Profile A","4","2","1","5","6","3","7",NA,"1000 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","1500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","2000 + conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Cooperative ownership structure – membership ownership","500 conference participants|President that manages the association and annual meeting|Non-elected executive that appoints council and president|Private-for-profit ownership structure","500 conference participants|Council that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","1000 conference participants|Executive group that manages the association and annual meeting|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","2000 + conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","1000 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","2000 + conference participants|Council and President that manage the association and annual meeting|Elected council that appoints a president|Cooperative ownership structure – membership ownership","911159012","218786485","17703999","838499536","907828090",10.3666666666667,35,"Straight","Man"
"10","2023-06-30 08:37:32","2023-06-30 08:47:26","IP Address","100",593,"True","2023-06-30 08:47:27","R_1FhyIBgz1TRjSps","email","EN","Consent to participate in this short survey","Student","University","Switzerland","Spanish","1",9,9,5,10,10,"Do not know",NA,NA,NA,"Yes","Yes","Yes","No","Yes","Yes","No","No","Profile B","Profile A","Profile B","Profile A","Profile B","4","6","3","2","1","5","7",NA,"1000 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","1000 conference participants|Executive group that manages the association and annual meeting|Elected council and elected president|Cooperative ownership structure – membership ownership","1500 conference participants|Council that manages the association and annual meeting|Elected council and elected president|Private-for-profit ownership structure","500 conference participants|Council that manages the association and annual meeting|Non-elected executive that appoints council and president|Not-for-profit ownership structure","500 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","500 conference participants|Council and President that manage the association and annual meeting|Elected council and elected president|Not-for-profit ownership structure","500 conference participants|Executive group that manages the annual meeting and a Council and president that manage the association|Non-elected executive, elected Council and elected President|Private-for-profit ownership structure","500 conference participants|Executive group that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Private-for-profit ownership structure","1500 conference participants|President that manages the association and annual meeting|Non-elected executive, elected Council and appointed President|Not-for-profit ownership structure","500 conference participants|Council and President that manage the association and annual meeting|Non-elected executive that appoints council and president|Cooperative ownership structure – membership ownership","35790822","559674541","447307456","714130588","606434745",9.88333333333333,28,"Straight","Man"
